latitude,longitude,runners,trees,pedestrians
42.354,-71.066,1286.0,7.0,2056.0
42.359,-71.068,359.0,16.0,6162.0
42.287,-71.149,8.0,1.0,0.0
42.277,-71.143,998.0,2.0,0.0
42.342,-71.067,6.0,6.0,52.0
42.384,-71.072,60.0,20.0,270.0
42.279,-71.045,8.0,0.0,0.0
42.336,-71.15,70.0,4.0,0.0
42.314,-71.121,30.0,27.0,0.0
42.261,-71.262,2.0,0.0,0.0
42.338,-71.289,41.0,0.0,0.0
42.356,-71.162,5.0,16.0,0.0
42.32,-71.117,32.0,19.0,174.0
42.646,-71.133,1.0,0.0,0.0
42.383,-71.091,36.0,0.0,810.0
42.291,-71.077,341.0,1.0,0.0
42.277,-71.019,6.0,0.0,0.0
42.344,-71.075,44.0,45.0,52.0
42.375,-71.156,11.0,0.0,0.0
42.403,-71.125,2.0,0.0,0.0
42.393,-71.128,43.0,0.0,0.0
42.32,-71.123,903.0,3.0,1514.0
42.489,-70.865,4.0,0.0,0.0
42.335,-71.039,30.0,4.0,18.0
42.24,-71.134,672.0,35.0,0.0
42.291,-71.123,56.0,28.0,0.0
42.351,-71.092,76.0,7.0,7764.0
42.541,-71.167,1.0,0.0,0.0
42.303,-71.118,9.0,39.0,0.0
42.364,-71.083,1.0,0.0,8832.0
42.542,-71.104,1.0,0.0,0.0
42.459,-71.049,4.0,0.0,0.0
42.37,-71.069,188.0,0.0,240.0
42.337,-71.111,901.0,73.0,2868.0
42.471,-70.893,1.0,0.0,0.0
42.306,-71.059,29.0,14.0,0.0
42.848,-71.265,1.0,0.0,0.0
42.33,-71.032,892.0,15.0,36.0
42.344,-71.108,37.0,0.0,1912.0
42.353,-71.047,304.0,27.0,92.0
42.396,-71.14,67.0,0.0,0.0
42.275,-71.093,10.0,14.0,0.0
42.295,-71.051,4.0,13.0,0.0
42.378,-71.061,61.0,27.0,190.0
42.299,-71.122,36.0,0.0,0.0
42.338,-71.16,7.0,0.0,0.0
42.245,-71.126,589.0,43.0,0.0
42.547,-71.163,3.0,0.0,0.0
42.277,-71.094,4.0,5.0,0.0
42.346,-71.131,3.0,0.0,0.0
42.269,-71.21,1.0,0.0,0.0
42.374,-71.205,1.0,0.0,0.0
42.35,-71.04,39.0,0.0,92.0
42.339,-71.207,17.0,0.0,0.0
42.442,-71.049,73.0,0.0,0.0
42.35,-71.127,64.0,10.0,0.0
42.364,-71.184,79.0,0.0,0.0
42.323,-71.053,19.0,11.0,18.0
42.85,-71.272,1.0,0.0,0.0
42.379,-71.126,20.0,0.0,0.0
42.302,-71.051,6.0,10.0,0.0
42.468,-70.911,9.0,0.0,0.0
42.364,-71.116,663.0,0.0,5748.0
42.456,-70.973,15.0,0.0,0.0
42.358,-71.115,486.0,0.0,5748.0
42.332,-71.057,55.0,1.0,18.0
42.372,-71.062,265.0,6.0,190.0
42.238,-71.028,1.0,0.0,0.0
42.35,-71.083,670.0,13.0,692.0
42.348,-71.136,49.0,5.0,0.0
42.425,-71.137,2.0,0.0,0.0
42.324,-71.09,1.0,18.0,348.0
42.454,-71.138,3.0,0.0,0.0
42.446,-71.046,69.0,0.0,0.0
42.289,-71.147,424.0,71.0,0.0
42.297,-71.116,466.0,41.0,0.0
42.353,-71.107,592.0,0.0,532.0
42.364,-71.072,792.0,37.0,19256.0
42.35,-71.164,9.0,8.0,0.0
42.325,-71.113,7.0,2.0,6093.0
42.271,-71.07,5.0,2.0,0.0
42.27,-71.1,291.0,41.0,0.0
42.462,-70.928,14.0,0.0,0.0
42.418,-71.045,2.0,0.0,0.0
42.241,-71.126,473.0,10.0,0.0
42.345,-71.042,96.0,0.0,46.0
42.297,-71.105,409.0,9.0,0.0
42.356,-71.075,6133.0,55.0,352.0
42.357,-71.071,97.0,5.0,2056.0
42.354,-71.06,230.0,0.0,101.0
42.497,-71.134,2.0,0.0,0.0
42.85,-71.273,1.0,0.0,0.0
42.294,-71.097,127.0,24.0,0.0
42.269,-71.212,1.0,0.0,0.0
42.384,-71.111,318.0,0.0,1585.0
42.302,-71.06,33.0,4.0,0.0
42.359,-71.074,51.0,0.0,10793.0
42.288,-71.128,6.0,1.0,0.0
42.288,-71.12,7.0,0.0,0.0
42.41,-71.12,3.0,0.0,0.0
42.329,-71.098,4.0,1.0,3502.0
42.367,-71.058,1534.0,35.0,570.0
42.359,-71.156,75.0,16.0,0.0
42.286,-71.142,40.0,4.0,0.0
42.37,-71.105,141.0,0.0,5748.0
42.295,-71.137,7.0,8.0,0.0
42.337,-71.024,70.0,10.0,138.0
42.412,-71.148,5.0,0.0,0.0
42.292,-71.129,366.0,43.0,0.0
42.34,-71.24,19.0,0.0,0.0
42.357,-71.094,737.0,0.0,2586.0
42.305,-71.048,14.0,3.0,0.0
42.35,-71.124,410.0,0.0,70.0
42.562,-71.193,1.0,0.0,0.0
42.357,-71.163,2.0,0.0,0.0
42.341,-71.107,98.0,9.0,956.0
42.36,-71.067,195.0,31.0,4090.0
42.459,-71.135,2.0,0.0,0.0
42.303,-71.054,4.0,4.0,0.0
42.431,-71.056,2.0,0.0,0.0
42.304,-71.099,44.0,6.0,0.0
42.347,-71.142,12.0,10.0,0.0
42.27,-71.089,6.0,19.0,0.0
42.35,-71.08,1358.0,12.0,252.0
42.43,-71.047,33.0,0.0,0.0
42.366,-71.147,50.0,0.0,0.0
42.309,-71.12,26.0,8.0,0.0
42.385,-71.142,9.0,0.0,0.0
42.421,-71.044,3.0,0.0,0.0
42.413,-71.05,18.0,0.0,0.0
42.382,-71.081,5.0,5.0,540.0
42.281,-71.045,14.0,0.0,0.0
42.257,-71.264,3.0,0.0,0.0
42.338,-71.227,7.0,0.0,0.0
42.369,-71.086,41.0,0.0,270.0
42.495,-71.156,3.0,0.0,0.0
42.367,-71.125,2.0,24.0,0.0
42.344,-71.097,27.0,28.0,4640.0
42.375,-71.083,7.0,0.0,270.0
42.353,-71.073,1830.0,83.0,1112.0
42.381,-71.086,1.0,0.0,270.0
42.333,-71.324,3.0,0.0,0.0
42.399,-71.119,19.0,0.0,1114.0
42.348,-71.124,4.0,0.0,35.0
42.353,-71.124,19.0,7.0,70.0
42.348,-71.075,14.0,0.0,556.0
42.282,-71.1,888.0,35.0,0.0
42.365,-71.087,32.0,0.0,5172.0
42.329,-71.244,18.0,0.0,0.0
42.282,-71.147,99.0,58.0,0.0
42.331,-71.083,83.0,23.0,258.0
42.26,-71.1,75.0,0.0,0.0
42.386,-71.117,5.0,0.0,4295.0
42.337,-71.044,80.0,21.0,54.0
42.346,-71.033,647.0,1.0,138.0
42.363,-71.147,35.0,0.0,0.0
42.337,-71.04,39.0,24.0,54.0
42.331,-71.137,40.0,0.0,0.0
42.491,-70.864,7.0,0.0,0.0
42.349,-71.049,443.0,21.0,138.0
42.366,-71.052,377.0,7.0,10.0
42.322,-71.043,279.0,5.0,54.0
42.351,-71.071,153.0,3.0,556.0
42.364,-71.107,7.0,0.0,5748.0
42.368,-71.135,40.0,0.0,0.0
42.336,-71.099,58.0,61.0,2024.0
42.334,-71.053,2.0,7.0,54.0
42.338,-71.212,18.0,0.0,0.0
42.328,-71.24,31.0,0.0,0.0
42.324,-71.115,102.0,23.0,3785.0
42.34,-71.049,26.0,24.0,54.0
42.265,-71.296,1.0,0.0,0.0
42.358,-71.073,8778.0,86.0,3866.0
42.429,-71.018,11.0,0.0,0.0
42.353,-71.157,32.0,2.0,0.0
42.366,-71.106,26.0,0.0,1916.0
42.298,-71.12,228.0,0.0,0.0
42.288,-71.123,6.0,18.0,0.0
42.368,-71.04,25.0,59.0,408.0
42.292,-71.131,4.0,8.0,0.0
42.304,-71.098,42.0,3.0,0.0
42.383,-71.116,1.0,0.0,4626.0
42.619,-71.295,2.0,0.0,0.0
42.36,-71.133,47.0,26.0,0.0
42.429,-71.033,5.0,0.0,0.0
42.341,-71.072,72.0,33.0,26.0
42.326,-71.117,737.0,0.0,1910.0
42.396,-71.06,1.0,0.0,190.0
42.364,-71.12,92.0,38.0,5748.0
42.332,-71.118,49.0,0.0,956.0
42.349,-71.038,1066.0,6.0,138.0
42.421,-71.043,13.0,0.0,0.0
42.337,-71.013,12.0,0.0,612.0
42.372,-71.13,18.0,15.0,0.0
42.431,-71.146,3.0,0.0,0.0
42.349,-71.09,792.0,44.0,14028.0
42.379,-71.089,28.0,0.0,540.0
42.459,-71.045,54.0,0.0,0.0
42.37,-71.096,911.0,0.0,7758.0
42.368,-71.088,11.0,0.0,1698.0
42.428,-71.067,8.0,0.0,0.0
42.361,-71.133,2.0,107.0,0.0
42.269,-71.218,2.0,0.0,0.0
43.029,-71.41,1.0,0.0,0.0
42.337,-71.185,15.0,0.0,0.0
42.366,-71.073,44.0,0.0,270.0
42.359,-71.053,2071.0,17.0,20.0
42.322,-71.117,99.0,18.0,5254.0
42.299,-71.101,29.0,0.0,0.0
42.41,-71.084,1.0,0.0,0.0
42.372,-71.128,254.0,2.0,0.0
42.61,-71.288,1.0,0.0,0.0
42.282,-71.206,1.0,0.0,0.0
42.348,-71.106,29.0,27.0,956.0
42.34,-71.284,36.0,0.0,0.0
42.453,-71.137,8.0,0.0,0.0
42.353,-71.108,760.0,0.0,532.0
42.342,-71.095,552.0,38.0,2024.0
42.333,-71.013,59.0,0.0,92.0
42.363,-71.1,327.0,0.0,3472.0
42.32,-71.047,6.0,0.0,18.0
42.341,-71.089,16.0,3.0,410.0
42.296,-71.051,7.0,2.0,0.0
42.416,-71.154,6.0,0.0,0.0
42.377,-71.089,21.0,0.0,810.0
42.456,-71.136,3.0,0.0,0.0
42.353,-71.118,8.0,71.0,1621.0
42.357,-71.145,16.0,0.0,0.0
42.339,-71.07,9.0,59.0,52.0
42.641,-71.311,10.0,0.0,0.0
42.35,-71.13,56.0,4.0,0.0
42.337,-71.031,67.0,33.0,138.0
42.341,-71.281,2.0,0.0,0.0
42.33,-71.145,30.0,0.0,0.0
42.404,-71.127,14.0,0.0,0.0
42.399,-71.145,12.0,0.0,0.0
42.428,-71.033,5.0,0.0,0.0
42.352,-71.075,1144.0,54.0,1023.0
42.634,-71.313,2.0,0.0,0.0
42.331,-71.202,15.0,0.0,0.0
42.365,-71.102,45.0,0.0,6181.0
42.404,-71.082,1.0,0.0,0.0
42.288,-71.126,42.0,33.0,0.0
42.247,-71.036,2.0,0.0,0.0
42.352,-71.039,64.0,0.0,138.0
42.348,-71.073,313.0,19.0,556.0
42.391,-71.14,14.0,0.0,0.0
42.306,-71.103,42.0,22.0,0.0
42.381,-71.11,328.0,0.0,1718.0
42.363,-71.101,37.0,0.0,3453.0
42.352,-71.129,38.0,54.0,0.0
42.399,-71.133,13.0,0.0,0.0
43.193,-71.523,1.0,0.0,0.0
42.388,-71.122,9.0,0.0,2624.0
42.337,-71.122,7.0,0.0,210.0
42.344,-71.081,7.0,67.0,820.0
43.035,-71.413,1.0,0.0,0.0
42.354,-71.048,2391.0,2.0,46.0
42.377,-71.122,11.0,0.0,4864.0
42.349,-71.039,1558.0,8.0,138.0
42.459,-71.065,6.0,0.0,0.0
42.362,-71.09,1.0,0.0,5172.0
42.277,-71.109,5.0,10.0,0.0
42.337,-71.143,79.0,0.0,0.0
42.565,-71.202,2.0,0.0,0.0
42.34,-71.167,21.0,7.0,0.0
42.341,-71.314,13.0,0.0,0.0
42.248,-71.271,1.0,0.0,0.0
