latitude,longitude,frequency
42.3585,-71.136,20
42.358,-71.137,20
42.3195,-71.0405,20
42.2335,-71.134,20
42.381,-71.012,20
42.283,-71.0455,20
42.3635,-71.05,20
42.355,-71.157,20
42.3675,-71.066,20
42.2835,-71.0425,20
42.377,-71.036,20
42.337,-71.096,20
42.3605,-71.132,20
42.3725,-71.059,20
42.3585,-71.133,20
42.3345,-71.091,20
42.3415,-71.148,20
42.355,-71.1275,20
42.3555,-71.0515,20
42.376,-71.03,20
42.2805,-71.1125,20
42.3005,-71.1055,20
42.361,-71.145,20
42.36,-71.137,20
42.356,-71.137,20
42.3595,-71.129,20
42.363,-71.1445,20
42.293,-71.125,20
42.334,-71.1035,20
42.3465,-71.1535,20
42.3435,-71.058,20
42.3355,-71.0675,20
42.3135,-71.0335,20
42.315,-71.0795,20
42.2955,-71.1285,20
42.302,-71.1135,20
42.3635,-71.0665,20
42.2525,-71.11,20
42.318,-71.1125,20
42.3165,-71.104,20
42.3035,-71.0985,20
42.345,-71.0685,20
42.344,-71.1055,20
42.3175,-71.0565,20
42.3815,-71.0655,20
42.3215,-71.094,20
42.348,-71.0785,20
42.3675,-71.067,20
42.371,-71.127,20
42.257,-71.1275,20
42.34,-71.102,20
42.361,-71.141,20
42.3075,-71.0615,20
42.3045,-71.089,20
42.348,-71.1735,20
42.3325,-71.046,20
42.3255,-71.1095,20
42.26,-71.122,20
42.3705,-71.028,20
42.358,-71.1345,20
42.327,-71.079,20
42.3555,-71.142,20
42.319,-71.0395,20
42.3385,-71.0175,20
42.3085,-71.047,20
42.293,-71.0525,20
42.359,-71.1315,20
42.3425,-71.159,20
42.2825,-71.1755,20
42.2925,-71.108,20
42.3615,-71.1355,20
42.32,-71.122,20
42.3385,-71.168,20
42.2935,-71.102,20
42.283,-71.1115,20
42.281,-71.044,20
42.3695,-71.028,20
42.3195,-71.0415,20
42.276,-71.0865,20
42.34,-71.0965,20
42.3475,-71.044,20
42.319,-71.1185,20
42.355,-71.0515,20
42.313,-71.0605,20
42.3105,-71.013,20
42.355,-71.137,20
42.3605,-71.07,20
42.2715,-71.079,20
42.2715,-71.09,20
42.3605,-71.072,20
42.337,-71.1115,20
42.3,-71.09,20
42.3095,-71.062,20
42.336,-71.0935,20
42.2765,-71.07,20
42.359,-71.127,20
42.2885,-71.096,20
42.36,-71.143,20
42.2765,-71.1015,20
42.3365,-71.154,20
42.3595,-71.137,20
42.333,-71.109,20
42.3185,-71.118,20
42.3595,-71.027,20
42.263,-71.105,20
42.3915,-71.0705,20
42.3785,-71.059,20
42.362,-71.1295,20
42.3595,-71.1235,20
42.2965,-71.0465,20
42.3725,-71.0335,20
42.284,-71.1025,20
42.3235,-71.093,20
42.282,-71.1555,20
42.314,-71.042,20
42.3155,-71.1265,20
42.3035,-71.098,20
42.337,-71.1005,20
42.3755,-71.03,20
42.2855,-71.0755,20
42.359,-71.135,20
42.3365,-71.1545,20
42.39,-71.0135,20
42.363,-71.145,20
42.2985,-71.1245,20
42.3025,-71.087,20
42.3865,-71.0185,20
42.3105,-70.955,20
42.316,-71.105,20
42.3385,-71.018,20
42.3065,-71.0545,20
42.301,-71.1205,20
42.3795,-71.071,20
42.347,-71.0615,20
42.296,-71.1735,20
42.3405,-71.0945,20
42.348,-71.041,20
42.334,-71.064,20
42.3145,-71.1165,20
42.274,-71.06,20
42.295,-71.1035,20
42.339,-71.092,20
42.296,-71.0885,20
42.299,-71.0875,20
42.366,-71.124,20
42.2835,-71.177,20
42.33,-71.092,20
42.3395,-71.1645,20
42.283,-71.045,20
42.279,-71.1115,20
42.348,-71.0455,20
42.3055,-71.0725,20
42.384,-71.063,20
42.3445,-71.075,20
42.3495,-71.072,20
42.288,-71.103,20
42.3435,-71.15,20
42.3835,-71.0645,20
42.309,-71.07,20
42.336,-71.1045,20
42.282,-71.045,20
42.35,-71.1,20
42.3245,-71.1015,20
42.314,-71.1225,20
42.293,-71.1745,20
42.339,-71.0545,20
42.3575,-71.0675,20
42.3595,-71.0525,20
42.374,-71.053,20
42.345,-71.0695,20
42.349,-71.165,20
42.3615,-71.132,20
42.3575,-71.051,20
42.298,-71.128,20
42.311,-71.108,20
42.318,-71.0655,20
42.3045,-71.0855,20
42.3415,-71.103,20
42.3435,-71.151,20
42.271,-71.061,20
42.2645,-71.099,20
42.315,-71.089,20
42.305,-71.1115,20
42.3225,-71.0945,20
42.274,-71.1075,20
42.3545,-70.9675,20
42.321,-71.084,20
42.2665,-71.134,20
42.318,-71.1255,20
42.356,-71.0745,20
42.344,-71.151,20
42.358,-71.123,20
42.375,-71.0535,20
42.3595,-71.142,20
42.286,-71.1025,20
42.368,-71.0255,20
42.2405,-71.1335,20
42.3355,-71.066,20
42.36,-71.126,20
42.3635,-71.0655,20
42.314,-71.091,20
42.3715,-71.0655,20
42.3665,-71.0535,20
42.3515,-71.0535,20
42.349,-71.1015,20
42.328,-71.104,20
42.285,-71.152,20
42.2795,-71.143,20
42.2745,-71.083,20
42.365,-71.066,20
42.2865,-71.1025,20
42.293,-71.169,20
42.3195,-71.041,20
42.364,-71.138,20
42.2785,-71.0565,20
42.3,-71.117,20
42.2685,-71.174,20
42.322,-71.0445,20
42.3615,-71.0715,20
42.3595,-71.1255,20
42.293,-71.129,20
42.2845,-71.103,20
42.275,-71.0965,20
42.3645,-71.0675,20
42.289,-71.1475,20
42.3495,-71.042,20
42.349,-71.1505,20
42.339,-71.0915,20
42.2955,-71.0995,20
42.3585,-71.13,20
42.324,-71.079,20
42.2915,-71.127,20
42.3605,-71.052,20
42.2635,-71.1635,20
42.365,-71.028,20
42.351,-71.0815,20
42.372,-71.0345,20
42.338,-71.0485,20
42.36,-71.062,20
42.2955,-71.09,20
42.3665,-71.134,20
42.3825,-71.032,20
42.3765,-71.0375,20
42.314,-71.0365,20
42.333,-71.093,20
42.3415,-71.0995,20
42.313,-71.11,20
42.3605,-71.1355,20
