latitude,longitude,frequency,logFreq
42.353,-71.0884,3948,3.596377144
42.3495,-71.1084,3944,3.595936906
42.353,-71.1019,3935,3.594944737
42.353,-71.0979,3928,3.594171479
42.359,-71.0729,3906,3.591732239
42.3525,-71.0974,3896,3.590618948
42.3485,-71.1009,3894,3.590395947
42.3525,-71.1024,3887,3.589614541
42.359,-71.0724,3882,3.589055531
42.349,-71.1019,3847,3.585122186
42.3505,-71.1134,3845,3.584896344
42.351,-71.1029,3845,3.584896344
42.3535,-71.1014,3844,3.584783379
42.3515,-71.0924,3839,3.584218112
42.3535,-71.0984,3838,3.58410497
42.3495,-71.1024,3832,3.5834255
42.351,-71.1134,3828,3.582971929
42.359,-71.0734,3824,3.582517884
42.3515,-71.1029,3821,3.582177038
42.3505,-71.0919,3810,3.580924976
42.3505,-71.1029,3808,3.58069694
42.3505,-71.1079,3807,3.580582877
42.348,-71.1109,3803,3.580126325
42.351,-71.1079,3797,3.579440597
42.326,-71.0979,3793,3.578982843
42.348,-71.1104,3793,3.578982843
42.35,-71.0914,3787,3.578295305
42.352,-71.0969,3783,3.577836341
42.3515,-71.0879,3769,3.576226137
42.349,-71.1129,3760,3.575187845
42.3635,-71.0729,3756,3.574725584
42.35,-71.1134,3756,3.574725584
42.35,-71.1079,3755,3.574609941
42.354,-71.0999,3751,3.574147064
42.3485,-71.1124,3751,3.574147064
42.352,-71.0879,3749,3.57391544
42.3485,-71.1014,3749,3.57391544
42.352,-71.1029,3740,3.572871602
42.349,-71.1084,3738,3.572639297
42.351,-71.0924,3733,3.57205799
42.348,-71.1114,3727,3.571359393
42.3485,-71.1089,3723,3.570893036
42.354,-71.0994,3722,3.570776369
42.354,-71.1004,3722,3.570776369
42.35,-71.1029,3721,3.57065967
42.3515,-71.1134,3712,3.569607968
42.348,-71.1099,3710,3.56937391
42.353,-71.0974,3697,3.567849451
42.3635,-71.0724,3694,3.567496891
42.353,-71.1024,3677,3.56549363
42.3525,-71.0879,3664,3.563955465
42.3535,-71.0979,3660,3.563481085
42.3525,-71.0969,3659,3.563362409
42.3535,-71.0884,3659,3.563362409
42.359,-71.0739,3657,3.56312496
42.3495,-71.1079,3651,3.562411833
42.3535,-71.1019,3649,3.562173863
